ENSG0000496	LOC_Os01g09550
ENSG0000497	LOC_Os01g09560
ENSG0000498	LOC_Os01g09570
ENSG0000499	LOC_Os01g09580
ENSG0000500	LOC_Os01g09590
ENSG0000501	LOC_Os01g09620
ENSG0000502	LOC_Os01g09640
ENSG0000503	LOC_Os01g09660
ENSG0000504	LOC_Os01g09665
ENSG0000505	LOC_Os01g09670
ENSG0000506	LOC_Os01g09700
ENSG0000507	LOC_Os01g09720
ENSG0000508	LOC_Os01g09740
ENSG0000509	LOC_Os01g09750
ENSG0000510	LOC_Os01g09760
ENSG0000511	LOC_Os01g09770
ENSG0000512	LOC_Os01g09790
ENSG0000513	LOC_Os01g09800
ENSG0000514	LOC_Os01g09810
ENSG0000515	LOC_Os01g09830
ENSG0000516	LOC_Os01g09850
ENSG0000517	LOC_Os01g09870
ENSG0000518	LOC_Os01g09880
ENSG0000519	LOC_Os01g09890
ENSG0000520	LOC_Os01g09900
ENSG0000521	LOC_Os01g09990
ENSG0000522	LOC_Os01g10010
ENSG0000523	LOC_Os01g10020
ENSG0000524	LOC_Os01g10040
ENSG0000525	LOC_Os01g10070
ENSG0000526	LOC_Os01g10080
ENSG0000527	LOC_Os01g10100
ENSG0000528	LOC_Os01g10140
ENSG0000529	LOC_Os01g10150
ENSG0000530	LOC_Os01g10180
ENSG0000531	LOC_Os01g10195
ENSG0000532	LOC_Os01g10210
ENSG0000533	LOC_Os01g10230
ENSG0000534	LOC_Os01g10250
ENSG0000535	LOC_Os01g10280
ENSG0000536	LOC_Os01g10320
ENSG0000537	LOC_Os01g10340
ENSG0000538	LOC_Os01g10350
ENSG0000539	LOC_Os01g10370
ENSG0000540	LOC_Os01g10400
ENSG0000541	LOC_Os01g10430
ENSG0000542	LOC_Os01g10440
ENSG0000543	LOC_Os01g10450
ENSG0000544	LOC_Os01g10530
ENSG0000545	LOC_Os01g10580
ENSG0000546	LOC_Os01g10610
ENSG0000547	LOC_Os01g10630
ENSG0000548	LOC_Os01g10640
ENSG0000549	LOC_Os01g10670
ENSG0000550	LOC_Os01g10680
ENSG0000551	LOC_Os01g10690
ENSG0000552	LOC_Os01g10790
ENSG0000553	LOC_Os01g10800
ENSG0000554	LOC_Os01g10820
ENSG0000555	LOC_Os01g10840
ENSG0000556	LOC_Os01g10830
ENSG0000557	LOC_Os01g10850
ENSG0000558	LOC_Os01g10860
ENSG0000559	LOC_Os01g10870
ENSG0000560	LOC_Os01g10880
ENSG0000561	LOC_Os01g10890
ENSG0000562	LOC_Os01g10900
ENSG0000563	LOC_Os01g10930
ENSG0000564	LOC_Os01g10950
ENSG0000565	LOC_Os01g10960
ENSG0000566	LOC_Os01g11010
ENSG0000567	LOC_Os01g11020
ENSG0000568	LOC_Os01g11040
ENSG0000569	LOC_Os01g11054
ENSG0000570	LOC_Os01g11070
ENSG0000571	LOC_Os01g11110
ENSG0000572	LOC_Os01g11120
ENSG0000573	LOC_Os01g11150
ENSG0000574	LOC_Os01g11160
ENSG0000575	LOC_Os01g11200
ENSG0000576	LOC_Os01g11220
ENSG0000577	LOC_Os01g11230
ENSG0000578	LOC_Os01g11240
ENSG0000579	LOC_Os01g11260
ENSG0000580	LOC_Os01g11280
ENSG0000581	LOC_Os01g11340
ENSG0000582	LOC_Os01g11350
ENSG0000583	LOC_Os01g11414
ENSG0000584	LOC_Os01g11460
ENSG0000585	LOC_Os01g11470
ENSG0000586	LOC_Os01g11480
ENSG0000587	LOC_Os01g11500
ENSG0000588	LOC_Os01g11520
ENSG0000589	LOC_Os01g11550
ENSG0000590	LOC_Os01g11570
ENSG0000591	LOC_Os01g11580
ENSG0000592	LOC_Os01g11590
ENSG0000593	LOC_Os01g11600
ENSG0000594	LOC_Os01g11620
ENSG0000595	LOC_Os01g11650
ENSG0000596	LOC_Os01g11660
ENSG0000597	LOC_Os01g11700
ENSG0000598	LOC_Os01g11730
ENSG0000599	LOC_Os01g11750
ENSG0000600	LOC_Os01g11760
ENSG0000601	LOC_Os01g11810
ENSG0000602	LOC_Os01g11820
ENSG0000603	LOC_Os01g11860
ENSG0000604	LOC_Os01g11880
ENSG0000605	LOC_Os01g11900
ENSG0000606	LOC_Os01g11910
ENSG0000607	LOC_Os01g11946
ENSG0000608	LOC_Os01g11952
ENSG0000609	LOC_Os01g11960
ENSG0000610	LOC_Os01g11970
ENSG0000611	LOC_Os01g11980
ENSG0000612	LOC_Os01g11990
ENSG0000613	LOC_Os01g12000
ENSG0000614	LOC_Os01g12010
ENSG0000615	LOC_Os01g12060
ENSG0000616	LOC_Os01g12070
ENSG0000617	LOC_Os01g12080
